;addressSize;append_sum;bleachingActivated;n_filters_mfcc;n_kernels;window_size;window_step;preprocessing_time_mean;preprocessing_time_std;training_time_mean;training_time_std;training_prediction_time_mean;training_prediction_time_std;validation_prediction_time_mean;validation_prediction_time_std;training_accuracy_mean;training_accuracy_std;validation_accuracy_mean;validation_accuracy_std;rank
0;10;True;True;16;8192;0.1;0.02;68.77953572273255;0.4617177439288483;1.9475937366485596;0.046322448908778166;7.282842683792114;0.06435519860653047;1.7630579948425293;0.011880095122613971;1.0;0.0;0.914074074074074;0.025272180902565916;1.0
1;10;True;True;14;8192;0.1;0.02;68.80982518196106;2.102738758389537;2.021882152557373;0.1329101786641132;7.1232446193695065;0.13164482798866062;1.7044575691223145;0.02643131641367714;1.0;0.0;0.912962962962963;0.009442628728875557;2.0
2;10;True;True;16;2048;0.1;0.02;21.257074213027956;0.14860567938966973;0.3907476425170898;0.010243542724090154;1.6125944137573243;0.06040949867961644;0.4575691223144531;0.041105755368487415;1.0;0.0;0.9122222222222222;0.022998777327792628;3.0
3;10;True;True;12;8192;0.1;0.02;67.67463703155518;1.6872249818042162;2.1569961071014405;0.45140747500959216;7.586651229858399;1.009146973877834;1.6888902187347412;0.027610335571046335;1.0;0.0;0.9114814814814816;0.009543776834611195;4.0
4;15;True;True;14;8192;0.1;0.02;69.58024525642395;3.1242429069997035;1.8037003993988037;0.08511755926008202;6.189355134963989;0.10949621790846066;1.5019770622253419;0.04064886695815425;1.0;0.0;0.9114814814814813;0.016580021693036576;5.5
5;15;True;True;14;4096;0.1;0.02;35.40952091217041;0.15382997535255769;0.8617012023925781;0.09757288383026172;3.3167675018310545;0.43341857373448595;0.8265673160552979;0.12833285169930791;1.0;0.0;0.9114814814814813;0.013167695433060114;5.5
6;10;True;True;12;2048;0.1;0.02;21.898711681365967;2.0531681116226523;0.39495210647583007;0.04126583432972576;1.6681331634521483;0.13454977237896157;0.4139120578765869;0.05444896523775642;1.0;0.0;0.9111111111111111;0.015713484026367745;7.0
7;10;True;True;14;4096;0.1;0.02;35.51463685035706;0.3762384152807737;0.8724675178527832;0.03175560891912969;3.2653729915618896;0.044494767059371616;0.8251219272613526;0.0698209002651587;1.0;0.0;0.9103703703703703;0.014083817290245564;8.0
8;10;True;True;12;4096;0.1;0.02;34.813274192810056;0.12274366916640567;0.8605092525482178;0.04175953312523287;3.2281736850738527;0.06100540042979784;0.801854944229126;0.011008945403182792;1.0;0.0;0.9096296296296297;0.014411167746921277;9.5
9;10;True;True;16;4096;0.1;0.02;37.02681093215942;1.85503962906503;0.9494547367095947;0.07168530124174205;3.4846755981445314;0.11280032675212251;0.8343898296356201;0.023585336488489594;1.0;0.0;0.9096296296296297;0.02474561939035564;9.5
10;15;True;True;12;8192;0.1;0.02;68.35835900306702;2.3422624491806596;1.8280123233795167;0.17183011734914042;6.007087373733521;0.23028330108126008;1.5265121459960938;0.13764150242791098;1.0;0.0;0.9088888888888889;0.016988659172118108;11.5
11;15;True;True;16;8192;0.1;0.02;69.64791874885559;0.5867156778148425;2.041035795211792;0.25319097468032026;6.490025663375855;0.6936120185698622;1.5668189525604248;0.19374121760455465;1.0;0.0;0.9088888888888889;0.030052537444593772;11.5
12;10;True;True;14;2048;0.1;0.02;20.89143786430359;0.23548608529716017;0.38100223541259765;0.00624554391741973;1.5817678451538086;0.07376565412536748;0.4040952205657959;0.023504439484082824;1.0;0.0;0.9081481481481483;0.01348677144891343;13.0
13;20;True;True;14;8192;0.1;0.02;68.78812441825866;0.31402721295646696;1.6591610431671142;0.01996968273702357;5.275070858001709;0.12331760061496225;1.276585006713867;0.02746924092289609;1.0;0.0;0.9066666666666666;0.016127067449686866;14.5
14;15;True;True;14;2048;0.1;0.02;21.006191205978393;0.20194901046208247;0.36722664833068847;0.014264509668051897;1.4510268688201904;0.02737007908673858;0.3738217353820801;0.01919301867953579;1.0;0.0;0.9066666666666666;0.015826563421645533;14.5
15;15;True;True;12;4096;0.1;0.02;34.858719444274904;0.15579906434609933;0.8688393592834472;0.11535684246310314;3.0996091842651365;0.12012767776297392;0.7513893604278564;0.018239175229015185;1.0;0.0;0.9055555555555556;0.014953058694952854;16.0
16;15;True;True;16;4096;0.1;0.02;37.036476373672485;2.113903617653534;0.8762519836425782;0.08195389825149338;3.1154491901397705;0.08975790887200216;0.7759318828582764;0.009968962433252241;1.0;0.0;0.9037037037037037;0.025686727236147722;17.0
17;20;True;True;12;8192;0.1;0.02;68.62627515792846;2.187333011953742;1.657851552963257;0.066626173048272;5.322816658020019;0.161863278810281;1.3023183345794678;0.040275569973704906;1.0;0.0;0.9014814814814816;0.013115504599722798;18.0
18;10;True;True;12;1024;0.1;0.02;14.321297216415406;0.1085903912217384;0.16196804046630858;0.004395611765412124;0.7358430385589599;0.011319244622328964;0.18550262451171876;0.002102977099117282;1.0;0.0;0.9003703703703705;0.0146939514258351;19.0
19;10;True;True;14;1024;0.1;0.02;14.507334995269776;0.14889464815578332;0.1607672691345215;0.002218921383218306;0.7511837482452393;0.019779367475548492;0.19216861724853515;0.002126697160735157;1.0;0.0;0.9;0.012227832606829052;20.0
20;15;True;True;12;2048;0.1;0.02;20.89176826477051;0.40434979177054725;0.3644248485565186;0.010871580797821622;1.452051591873169;0.0597170697511294;0.36562600135803225;0.021929943587367492;1.0;0.0;0.8992592592592592;0.013936953868316133;21.0
21;10;True;True;10;8192;0.1;0.02;65.69739451408387;0.11869879579323789;1.8041534423828125;0.08396896117603181;7.14674973487854;0.1615844281517736;1.7961382389068603;0.10107933827256262;1.0;0.0;0.897037037037037;0.010772621905369614;22.0
22;20;True;True;14;4096;0.1;0.02;37.06992979049683;2.052070387482367;0.7806968688964844;0.02846291265165203;2.600058174133301;0.05236337210277099;0.6307455539703369;0.028791823691072596;1.0;0.0;0.8951851851851853;0.01139152333276275;23.0
23;15;True;True;12;1024;0.1;0.02;14.971303510665894;1.445217511604791;0.1520017623901367;0.0032464675472977803;0.6504583358764648;0.004294967594721863;0.16515235900878905;0.0025612381110794186;1.0;0.0;0.894074074074074;0.012417077492029796;24.0
24;20;True;True;12;4096;0.1;0.02;35.49279489517212;0.39722000675442654;0.7961548328399658;0.05869582758391668;2.5755022048950194;0.053016291688551265;0.6241473197937012;0.009072121890582797;1.0;0.0;0.8933333333333333;0.019051586888313588;25.0
25;10;True;True;16;1024;0.1;0.02;14.689747285842895;0.08141548490504938;0.1635660171508789;0.003510506570733017;0.7645503520965576;0.004635453579740644;0.18909721374511718;0.0023276664818833817;1.0;0.0;0.8922222222222222;0.025482988758177144;26.0
26;15;True;True;16;2048;0.1;0.02;21.62531981468201;0.5089103842486766;0.4273369312286377;0.04957684878780327;1.5943543434143066;0.12386725127400915;0.38457589149475097;0.029190261436766125;1.0;0.0;0.8918518518518519;0.03128698086213762;27.0
27;10;True;True;10;4096;0.1;0.02;34.889910984039304;2.0067809834512933;0.8285836696624755;0.064651969872002;3.461243677139282;0.33302015926527445;0.872852087020874;0.14043637244843452;1.0;0.0;0.8914814814814814;0.011805464778154973;28.0
28;20;True;True;16;8192;0.1;0.02;70.92051858901978;2.2566222643864386;1.6480310916900636;0.01899885848315069;5.316875267028808;0.10106155365828468;1.3480214118957519;0.057565546978727414;1.0;0.0;0.8907407407407406;0.02904516137288539;29.0
29;10;True;True;10;2048;0.1;0.02;20.17436628341675;0.16931113630381525;0.3749991416931152;0.01583803531407494;1.5819803714752196;0.11491291366026182;0.38677282333374025;0.016144818099738893;1.0;0.0;0.8903703703703704;0.013877773329774221;30.0
30;15;True;True;10;4096;0.1;0.02;34.34304456710815;0.23420180736687243;0.789499044418335;0.03077961066440157;2.9004324436187745;0.04785606734532479;0.7473957061767578;0.042991491414547764;1.0;0.0;0.8881481481481481;0.006263531305662124;31.5
31;15;True;True;10;8192;0.1;0.02;66.23545269966125;0.1354974792601717;1.7331645965576172;0.07763353960071512;6.309913492202758;0.7697302477500401;1.5408833503723145;0.18199923550571412;1.0;0.0;0.8881481481481481;0.009340385342902607;31.5
32;20;True;True;14;2048;0.1;0.02;21.23931488990784;0.24950000586501422;0.36463499069213867;0.0367507914694879;1.2540631294250488;0.05603859770467691;0.30158653259277346;0.009889809171080238;1.0;0.0;0.8877777777777778;0.015475986974649025;33.0
33;15;True;True;14;1024;0.1;0.02;17.053668546676636;3.3922384454043386;0.18451495170593263;0.04812032396169412;0.7686018943786621;0.16673179026413282;0.20085787773132324;0.059711354218028145;1.0;0.0;0.8874074074074073;0.015243789353523456;34.0
34;20;True;True;10;8192;0.1;0.02;68.29862689971924;3.186938395444941;1.6131516456604005;0.06523058539605564;5.223016738891602;0.11321262642906153;1.2610320091247558;0.01448439066083416;1.0;0.0;0.8866666666666667;0.010631629699561006;35.0
